Tiêu đề sách,Đã bán (Sách),Giá bán (VNĐ),Giá gốc (VNĐ),Mã Kim Đồng (Mã sách),ISBN (Mã quốc tế),Tác giả,Đối tượng,Chiều dài (cm),Chiều rộng (cm),Số trang,Định dạng,Trọng lượng (gram),Bộ sách,Loại sách,Mô tả
Combo Dấu ấn hoàng gia (Tập 1-5),881,135000,150000,CB218240001,không có,"Chieko Hosokawa, Fūmin",Tuổi mới lớn,17.6,11.3,210,bìa mềm,1000,Dấu ấn hoàng gia,Manga - comic,"""Tương truyền, khi chòm sao Sopdet xuất hiện ở Ai Cập ta, một thiếu nữ hoàng kim tỏa hào quang rực rỡ sẽ hiện thân bên bờ sông Nile... Nàng là con gái nữ thần sông Nile Hapi. Với dung mạo kiều diễm tựa dòng chảy sông Nile, cùng nụ cười mê hoặc lòng người, thiếu nữ do mẹ hiền sông Nile hạ sinh sẽ ban phước lành cho mảnh đất sa mạc của chúng ta..."" Bị vướng phải lời nguyền hoàng gia, thiếu nữ đam mê khảo cổ học Carol đã bị đưa về thế giới 3000 năm trước. Tại đây, cô gái tóc vàng xinh đẹp được vị Pharaoh trẻ tuổi trị vì Ai Cập cổ đại Memphis đem lòng yêu và nhất quyết muốn lập làm hoàng hậu. Tuy nhiên, bủa vây xung quanh họ là những âm mưu và toan tính... ""Huyền thoại"" dòng truyện tranh thiếu nữ, câu chuyện lãng mạn kì ảo vượt thời - không nơi vùng đất Ai Cập cổ đại huyền bí đầy mê hoặc sẽ chính thức bắt đầu từ tháng 8.2024. Hãy cùng đón chào màn ra mắt chính thức với BẢN QUYỀN 100% của tác phẩm kinh điển gắn liền với hồi ức của nhiều thế hệ độc giả."
Mob Psycho 100 - Tập 6,905,5000,30000,5212214550006,978-604-2-22941-8,One,Tuổi mới lớn,18,13,192,bìa mềm,140,Mob Psycho 100,Manga - comic,"NGAY TRƯỚC MẶT SƯ PHỤ… MOB ĐÃ ĐỂ MẤT KIỂM SOÁT NĂNG LỰC! Mob và các bạn bị tóm gọn ngay trong hang ổ của “Móng Vuốt”. Lần theo dấu vết của đệ tử ruột, Reigen đã xuất hiện, theo sau còn có một đám lâu la…!!? Bị giằng xé giữa cảm giác muốn trốn chạy khỏi hiểm nguy và phải đương đầu với nó để cứu bè bạn, Mob đã BÙNG NỔ!!!!"
Nhà có 5 nàng dâu - Tập 13,913,22500,25000,5222214690013,978-604-2-23709-3,Negi Haruba,Tuổi mới lớn,17.6,11.3,192,bìa mềm,150,Nhà có 5 nàng dâu,Manga - comic,"Thầy giáo dạy thêm bất đắc dĩ Futarou đang gánh vác sứ mệnh dẫn lối cho 5 chị em gái xinh đẹp nhưng lại “ghét học”, “suýt soát lưu ban” tới ngưỡng cửa “lễ tốt nghiệp”. Sự kiện cuối cùng của những năm cấp 3 - “Lễ hội trường” đã khai mạc. Trong 3 ngày này, cuộc sống của Futarou và 5 chị em sẽ có một sự thay đổi lớn! Câu chuyện thanh xuân vườn trường với những cảm xúc đan xen đã tới hồi cao trào...!!"
Dấu ấn hoàng gia - Tập 7,917,27000,30000,5242218240007,978-604-2-37898-7,"Chieko Hosokawa, Fūmin",Tuổi mới lớn,17.6,11.3,192,bìa mềm,200,Dấu ấn hoàng gia,Manga - comic,"""Tương truyền, khi chòm sao Sopdet xuất hiện ở Ai Cập ta, một thiếu nữ hoàng kim tỏa hào quang rực rỡ sẽ hiện thân bên bờ sông Nile... Nàng là con gái nữ thần sông Nile Hapi. Với dung mạo kiều diễm tựa dòng chảy sông Nile, cùng nụ cười mê hoặc lòng người, thiếu nữ do mẹ hiền sông Nile hạ sinh sẽ ban phước lành cho mảnh đất sa mạc của chúng ta..."" Bị vướng phải lời nguyền hoàng gia, thiếu nữ đam mê khảo cổ học Carol đã bị đưa về thế giới 3000 năm trước. Tại đây, cô gái tóc vàng xinh đẹp được vị Pharaoh trẻ tuổi trị vì Ai Cập cổ đại Memphis đem lòng yêu và nhất quyết muốn lập làm hoàng hậu. Tuy nhiên, bủa vây xung quanh họ là những âm mưu và toan tính... ""Huyền thoại"" dòng truyện tranh thiếu nữ, câu chuyện lãng mạn kì ảo vượt thời - không nơi vùng đất Ai Cập cổ đại huyền bí đầy mê hoặc sẽ chính thức bắt đầu từ tháng 8.2024. Hãy cùng đón chào màn ra mắt chính thức với BẢN QUYỀN 100% của tác phẩm kinh điển gắn liền với hồi ức của nhiều thế hệ độc giả."
One piece - Tập 104,925,22500,25000,5242203331104,978-604-2-37798-0,Eiichiro Oda,Tuổi mới lớn,17.6,11.3,188,bìa mềm,150,One Piece,Manga - comic,"20 năm trời nằm dưới ách thống trị của Kaido và Orochi... Liệu Wano quốc có được giải thoát khỏi sự thống khổ, và nụ cười thực sự sẽ trở lại trên gương mặt của người dân nơi đây!? Tất cả phụ thuộc vào nắm đấm của Luffy!! Sắp có hồi kết cho vở kịch Wano quốc!! Những chuyến phiêu lưu trên đại dương xoay quanh “ONE PIECE” lại bắt đầu!!"
Thiên thần diệt thế - Seraph of the end - Tập 18 (2021),922,5000,20000,5212212340018,978-604-2-22027-9,"Takaya Kagami, Yamato Yamamoto, Daisuke Furuya",Tuổi mới lớn,17.6,11.3,184,bìa mềm,125,Thiên thần diệt thế - Seraph of the end,Manga - comic,"Nhóm Yuichiro đã trở lại Shibuya - trụ sở chính của Nhật Bản Đế quỷ quân. Trong vai trò khách mời, họ được trưởng gia tộc Hiiragi là Kureto đón tiếp. Tuy nhiên Mikaela đã cảm nhận được điều gì đó nguy hiểm ở đây. Liệu có phải là Shikamadouji – kẻ đang chiếm hữu lấy Kureto không…!?"
Im - Đại tư tế Imhotep - Tập 11,927,5000,30000,5212214400011,978-604-2-22501-4,Makoto Morishita,Tuổi mới lớn,"17,6","11,3",188,bìa mềm,130,Im - Đại tư tế Imhotep,Manga - Comic,"Trước sức mạnh áp đảo của Apophis sau khi có được thân thể nguyên vẹn, bạn bè của Im lần lượt bị biến thành Magai. Giữa ngổn ngang tuyệt vọng, thần Thoth trước giờ luôn giữ vị trí trung lập đã cùng Im chiến đấu giành lại cơ thể của Djoser từ Apophis. Kết cục của buổi phán xét thế giới này chính là...!?"
Dragon Quest - Dấu ấn Roto (Perfect Edition) - Tập 2 (Tặng kèm Bookmark PVC),931,67500,75000,5212214900002,978-604-2-23290-6,"Kamui Fujiwara, Chiaki Kawamata",Tuổi mới lớn,18,13,376,bìa mềm,300,Dragon Quest - Dấu ấn Roto (Perfect Edition),Manga - comic,"DRAGON QUEST - DẤU ẤN ROTO: Series Manga đến từ thương hiệu Game huyền thoại chính thức đổ bộ tại Việt Nam vào cuối tháng 11.2021!! Có lẽ không cần phải giới thiệu quá nhiều về một trong những bộ Manga thuộc Series ""Dragon Quest"" cực kì nổi tại Việt Nam với tên gọi cũ là ""Dấu ấn rồng thiêng""! Phải gần 25 năm, người hâm mộ Dragon Quest mới được chính thức sở hữu những cuốn Manga có bản quyền và đặc biệt hơn, lại là bản HOÀN CHỈNH! Là phần truyện độc lập với series ""Adventure of Dai - Cuộc phiêu lưu của Dai Dũng sĩ"" trên tạp chí Jump, ""Emblem of Roto"" nói về hành trình của Dũng sĩ Arus - Người mang trong mình dòng máu của Dũng sĩ Roto - sát cánh bên Tam Vương nhằm tiêu diệt Dị Ma Thần. Để làm được điều đó, cậu phải vượt qua muôn vàn khó khăn và thử thách! Nhưng với trái tim nhân hậu và lòng quả cảm, Arus dần trưởng thành, lãnh hội được nhiều thần chú, học hỏi được nhiều điều qua mỗi vùng đất mà cậu phiêu lưu! Quan trọng là niềm tin mãnh liệt không hề lùi bước trước khó khăn! Không khó hiểu lí do vì sao ""Dấu ấn rồng thiêng"" ngày nào trở thành một trong những tác phẩm ""kinh điển"" của tuổi thơ những thế hệ độc giả Manga đời đầu. Trong vai trò là tác phẩm mở đường, DRAGON QUEST - DẤU ẤN ROTO cũng là bộ truyện thứ 5 thuộc dòng Deluxe của NXB Kim Đồng. Với sự đầu tư, chăm chút và đặt nhiều kì vọng, rất hi vọng các bạn độc giả sẽ đón nhận thật nhiệt thành, và sẽ có những trải nghiệm lí thú khi dõi theo bước đường trưởng thành của Dũng sĩ Arus cùng những người đồng đội! Sách tặng kèm Bookmark PVC cho bản in đầu tiên."
Dragon Ball Full Color - Phần ba - Tập 3,946,69300,77000,5212214620003,978-604-2-22752-0,Akira Toriyama,Tuổi mới lớn,17.6,11.3,248,bìa mềm,280,Dragon Ball Full Color,Manga - comic,"Sau Đại hội võ thuật lần thứ 23, Đại Ma Vương Piccolo không còn quấy rối dân lành nữa. Goku và các bạn quay trở về cuộc sống bình thường. Anh đã kết hôn với Chichi, con gái của Ngưu Ma Vương và có một cậu con trai tên là Gohan. Trong một lần Goku đưa Gohan đến đảo Rùa chơi thì bỗng có một kẻ ăn vận kì lạ, tự xưng là anh trai ruột của Son Goku xuất hiện. Hắn đã tiết lộ một điều khủng khiếp về thân thế thật của Goku rồi bắt cóc Gohan đem đi mất... Xin mời các bạn tiếp tục theo dõi phần truyện màu đầy kịch tính tiếp theo của 7 Viên Ngọc Rồng: Dragon Ball Full Color: Cuộc đổ bộ của người Saiya. Bộ sưu tập những tác phẩm của Akira Toriyama do NXB Kim Đồng đã, đang và dự kiến phát hành! - Dragon Ball - 7 Viên ngọc rồng - bản đen trắng (42 tập) - Dragon Ball Đại tuyển tập (1 tập) - Dragon Ball ngoại truyện: Tỉnh giấc hoá Yamcha (1 tập) - Tuyển tập truyện ngắn Akira Toriyama:   Phim trường số 0 Vol.1   Phim trường số 0 Vol.2   Phim trường số 0 Vol.3   Jaco- tuần tra viên ngân hà   Neko Majin- chú mèo võ sĩ   Dũng sĩ Kajika   Sandland - Vùng hoang mạc   Cowa! Làng quái vật - Dragon Ball Super (11 tập +) - Dragon Ball Full Color (32 tập) - Dragon Ball SD (5+) - Dr. Slump - Ultimate Edition (15 tập) - Dragon Ball Super – BROLY Anime comics (1 tập)"
Komi - Nữ thần sợ giao tiếp - Tập 11,578,22500,25000,5222214910011,978-604-2-23675-1,Tomohito Oda,Tuổi mới lớn,"17,6","11,3",182,bìa mềm,150,Komi - Nữ thần sợ giao tiếp,Manga - comic,Komi đi du lịch với cả nhà trong Tuần lễ Vàng rồi tình cờ gặp gỡ gia đình Tadano cùng Najimi và có một khoảng thời gian vô cùng vui vẻ với mọi người. Tadano cùng Komi đi dạo dưới bầu trời đầy sao thì đột nhiên một cơn mưa ập đến và phải trú tạm trong căn nhà nhỏ nơi sườn núi. Cả hai cùng chia sẻ một chiếc chăn để không ai bị lạnh. Sự ân cần ngại ngùng và khó nói thành lời dần hình thành một sợi dây gắn kết giữa hai người. Mời các bạn thưởng thức tập 11 của câu chuyện hài hước về người đẹp sợ giao tiếp gửi gắm hơi ấm cùng sự quan tâm tới đối phương!!
Bá tước tiểu thư - Tập 7,542,5000,30000,5222215560007,978-604-2-27564-4,"Chieko Hosokawa, Fu-min",Tuổi mới lớn,"17,6","11,3",208,bìa mềm,150,Bá tước tiểu thư,Manga - comic,"Câu chuyện diễn ra ở Pháp vào cuối thế kỷ XIX, thời kì Phồn hoa tươi đẹp. Corinne, cô gái trong sáng, hoạt bát lớn lên trong trại trẻ mồ côi đã có một mối tình trong sáng với chàng quý tộc mù Richard. Bên cạnh đó, bạn của Richard, Vua báo chí tuổi trẻ tài cao Alain lại tha thiết yêu cô. Khi Richard đến Paris phẫu thuật mắt, Corinne mới biết thân phận thực sự của mình là cháu gái Bá tước Ronsard. Trên đường đến Paris đoàn tụ người thân, con tàu chẳng may bị đắm, cướp đi trí nhớ của cô. Lợi dụng tai nạn ấy, ả móc túi Anna đã mạo danh Corinne, thế chỗ cô trở thành tiểu thư nhà Bá tước... Đan xen giữa tình yêu và thù hận, lãng mạn và buồn thương, BÁ TƯỚC TIỂU THƯ - Series Manga cổ điển thập niên cũ hứa hẹn sẽ mang đến cho độc giả nhiều cung bậc cảm xúc qua nét vẽ trau chuốt, tỉ mỉ của Chieko Hosokawa & Fu~min - Bộ đôi đã sáng tác ""NỮ HOÀNG AI CẬP"" (Tên cũ) - Một trong những tác phẩm truyện tranh gắn liền với tuổi thơ của nhiều thế hệ độc giả. Nhà xuất bản Kim Đồng xin trân trọng giới thiệu cùng bạn đọc."
Birdmen - Tập 1,542,5000,30000,5222215470001,978-604-2-26828-8,Yellow Tanabe,Tuổi mới lớn,17.6,11.3,188,bìa mềm,130,Birdmen,Manga - comic,"Eishi Karasuma là một học sinh cấp 2 luôn bất mãn với cuộc sống. Sau khi ra công viên cầu cảng cùng cậu bạn Kamoda, trên đường về, họ không may gặp phải một tai nạn. Cả hai sống sót một cách thần kì, nhưng thể chất trở nên khác thường và... mọc cánh! Sagisawa và Tsubame có mặt trên chuyến xe buýt ấy cũng gặp tình trạng tương tự. Hóa ra họ đã giao ước với Người chim để giữ tính mạng… Những thay đổi nào sẽ đến với cuộc sống của những cô cậu học trò trước ngưỡng cửa của tuổi mới lớn!!? Hãy cùng đến với tác phẩm mới đầy li kì với các tình tiết siêu nhiên của Yellow TANABE - Họa sĩ rất được các độc giả Việt Nam yêu mến với bộ truyện KEKKAISHI - KẾT GIỚI SƯ năm nào."
Dragon Quest - Dấu ấn Roto (Perfect Edition) - Tập 5 (Tặng Kèm Bookmark PVC),543,67500,75000,5222214900005,978-604-2-23561-7,"Kamui Fujiwara, Chiaki Kawamata",Tuổi mới lớn,18,13,276,bìa mềm,300,Dragon Quest - Dấu ấn Roto (Perfect Edition),Manga - comic,"DRAGON QUEST - DẤU ẤN ROTO: Series Manga đến từ thương hiệu Game huyền thoại chính thức đổ bộ tại Việt Nam vào cuối tháng 11.2021!! Có lẽ không cần phải giới thiệu quá nhiều về một trong những bộ Manga thuộc Series ""Dragon Quest"" cực kì nổi tại Việt Nam với tên gọi cũ là ""Dấu ấn rồng thiêng""! Phải gần 25 năm, người hâm mộ Dragon Quest mới được chính thức sở hữu những cuốn Manga có bản quyền và đặc biệt hơn, lại là bản HOÀN CHỈNH! Là phần truyện độc lập với series ""Adventure of Dai - Cuộc phiêu lưu của Dai Dũng sĩ"" trên tạp chí Jump, ""Emblem of Roto"" nói về hành trình của Dũng sĩ Arus - Người mang trong mình dòng máu của Dũng sĩ Roto - sát cánh bên Tam Vương nhằm tiêu diệt Dị Ma Thần. Để làm được điều đó, cậu phải vượt qua muôn vàn khó khăn và thử thách! Nhưng với trái tim nhân hậu và lòng quả cảm, Arus dần trưởng thành, lãnh hội được nhiều thần chú, học hỏi được nhiều điều qua mỗi vùng đất mà cậu phiêu lưu! Quan trọng là niềm tin mãnh liệt không hề lùi bước trước khó khăn! Không khó hiểu lí do vì sao ""Dấu ấn rồng thiêng"" ngày nào trở thành một trong những tác phẩm ""kinh điển"" của tuổi thơ những thế hệ độc giả Manga đời đầu. Trong vai trò là tác phẩm mở đường, DRAGON QUEST - DẤU ẤN ROTO cũng là bộ truyện thứ 5 thuộc dòng Deluxe của NXB Kim Đồng. Với sự đầu tư, chăm chút và đặt nhiều kì vọng, rất hi vọng các bạn độc giả sẽ đón nhận thật nhiệt thành, và sẽ có những trải nghiệm lí thú khi dõi theo bước đường trưởng thành của Dũng sĩ Arus cùng những người đồng đội! Sách tặng kèm Bookmark PVC cho bản in đầu tiên."
Yu-Gi-Oh! GX - Tập 1,544,5000,30000,5222215770001,978-604-2-27380-0,"Kazuki Takahashi, Naoyuki Kageyama",Tuổi mới lớn,"17,6","11,3",176,bìa mềm,140,Yu-Gi-Oh! GX,Manga - Comic,"Chào mừng đến Duel Academia - Học viện chuyên đào tạo bài thủ thế hệ mới, tọa lạc trên hòn đảo biệt lập giữa vùng biển phía Nam! Ở đây có một thiếu niên tên gọi Yuki Judai. Cậu sở hữu năng lực vượt trội nhưng lại bị xếp vào hàng thấp nhất trong 3 cấp, lại còn là cấp có nguy cơ bị đuổi học nếu thành tích bết bát!! Hành trình sắp tới của Judai sẽ thế nào!? Hãy cùng bước vào thế giới với những trận đấu bài rực lửa của Judai và nhóm bạn nhé!! Kazuki Takahashi “Dẫu ban đầu GX chỉ là dự án hoạt hình, ấy vậy mà trợ lí Kageyama của tôi đã được chọn để vẽ GX phiên bản truyện tranh đó! Chắc chắn Kageyama sẽ làm nên một nhóm bạn Judai vui nổ trời thông qua góc nhìn đầy bao dung có trong con người cậu ấy! Mọi người hãy chú ý dõi theo nhé!” Naoyuki Kageyama “Trời đất ơi!! Có nằm mơ tôi cũng không tin mình được giao nhiệm vụ vẽ GX để đăng tải dài kì. Truyện khá là khác so với bản hoạt hình, nên chúng ta hãy thưởng thức với tâm thế như một phiên bản độc lập nhé! Kể từ giờ tôi sẽ ráng hết sức, mong nhận được sự ủng hộ của bạn đọc gần xa.” nbsp;"
Bá tước tiểu thư - Tập 5,551,5000,30000,5222215560005,978-604-2-27562-0,"Chieko Hosokawa, Fu-min",Tuổi mới lớn,"17,6","11,3",208,bìa mềm,150,Bá tước tiểu thư,Manga - comic,"Câu chuyện diễn ra ở Pháp vào cuối thế kỷ XIX, thời kì Phồn hoa tươi đẹp. Corinne, cô gái trong sáng, hoạt bát lớn lên trong trại trẻ mồ côi đã có một mối tình trong sáng với chàng quý tộc mù Richard. Bên cạnh đó, bạn của Richard, Vua báo chí tuổi trẻ tài cao Alain lại tha thiết yêu cô. Khi Richard đến Paris phẫu thuật mắt, Corinne mới biết thân phận thực sự của mình là cháu gái Bá tước Ronsard. Trên đường đến Paris đoàn tụ người thân, con tàu chẳng may bị đắm, cướp đi trí nhớ của cô. Lợi dụng tai nạn ấy, ả móc túi Anna đã mạo danh Corinne, thế chỗ cô trở thành tiểu thư nhà Bá tước... Đan xen giữa tình yêu và thù hận, lãng mạn và buồn thương, BÁ TƯỚC TIỂU THƯ - Series Manga cổ điển thập niên cũ hứa hẹn sẽ mang đến cho độc giả nhiều cung bậc cảm xúc qua nét vẽ trau chuốt, tỉ mỉ của Chieko Hosokawa & Fu~min - Bộ đôi đã sáng tác ""NỮ HOÀNG AI CẬP"" (Tên cũ) - Một trong những tác phẩm truyện tranh gắn liền với tuổi thơ của nhiều thế hệ độc giả. Nhà xuất bản Kim Đồng xin trân trọng giới thiệu cùng bạn đọc."
Mob Psycho 100 - Tập 3,551,5000,30000,5212214550003,không có,One,Tuổi mới lớn,18,13,192,bìa mềm,140,Mob Psycho 100,Manga - Comic,"MOB NHẬN RA ĐIỀU GÌ KHI CẢM XÚC TRONG CẬU LÊN TỚI ĐỈNH ĐIỂM!? Trong trận quyết chiến với trùm ẩn trường Giấm Đen - Teru - Mob bị sốc tinh thần đến mức lăn ra bất tỉnh. Cuộc đấu tưởng như đã ngã ngũ thì bỗng “phản ứng” bên trong Mob trỗi dậy, vượt qua cả ý chí của cậu...!? Ngoài ra mời các bạn cùng đến với câu chuyện của Ritsu, cậu em trai vốn rất thần tượng anh mình...!!!   ONE Nhờ những chia sẻ thân tình từ các độc giả mà một kẻ ít giao lưu xã hội như tôi có cảm tưởng đang được kết nối với rất nhiều người. Và cũng thật may mắn là tập 3 đã đến được tay các bạn, xin chân thành cảm ơn cuộc đời."
Saiki Kusuo - Kẻ siêu năng khốn khổ - Tập 17,552,5000,22000,5212214260017,978-604-2-22776-6,Shuichi Aso,Tuổi mới lớn,"17,6","11,3",192,bìa mềm,115,Saiki Kusuo - Kẻ siêu năng khốn khổ,Manga - comic,"Siêu năng lực gia Aiura Mikoto “phục kích” Kusuo ở tiệm cà phê. Trong lúc cô nàng đang dồn dập tấn công crush, Toritsuka cũng tình cờ xuất hiện, tạo ra cuộc hội ngộ đầy bất ngờ của bộ ba siêu năng lực gia! Và cuộc chiến tranh giành vị trí chiến hữu của Kusuo bắt đầu…!?"
666 Satan - Tập 3,552,5000,30000,5222215900003,978-604-2-27834-8,Seishi Kishimoto,Thiếu niên,17.6,11.3,188,bìa mềm,130,666 Satan,Manga - comic,"Jio thảm bại trước Crimson Magician Wisel? Bên cạnh đó, Chính phủ đang ráo riết xúc tiến khai quật một O-parts khổng lồ bí ẩn. Chương truyện về thành phố Entotsu bắt đầu bước vào hồi cao trào…!! nbsp;"
Kaguya - Cuộc chiến tỏ tình - Tập 2,554,36000,40000,5222215730002,978-604-2-27585-9,Aka Akasaka,Tuổi mới lớn,18,13,212,bìa mềm,220,Kaguya - Cuộc chiến tỏ tình,Manga - comic,"Gia thế hiển hách, nhân cách miễn bàn! Học viện Shuchiin là nơi hội tụ những anh tài tương lai xán lạn!! Và Hội Học Sinh của ngôi trường danh giá ấy là nơi hội trưởng Shirogane Miyuki và hội phó Shinomiya Kaguya gặp nhau... Đây là câu chuyện tình cảm hài hước mới mẻ về hai thiên tài tuy trong lòng thích nhau lắm rồi, nhưng vẫn ngày ngày bày mưu tính kế cò cưa, bắt đối phương phải tỏ tình trước!!! Trong tập 2, cuộc chiến tỏ tình giữa hai thiên tài vẫn tiếp tục qua màn trao đổi địa chỉ liên lạc, nụ hôn gián tiếp, kinh nghiệm lần đầu, tin nhắn đầu tiên, cosplay... Mời các bạn đón đọc!"
Pokémon - Cuộc phiêu lưu của Pippi  HG.SS (HeartGold.SoulSilver) - Tập 1,553,5000,22000,5222215280001,978-604-2-23557-0,Kosaku Anakubo,Tuổi mới lớn,17.6,11.3,192,bìa mềm,130,Pokémon - Cuộc phiêu lưu của Pippi  HG.SS (HeartGold.SoulSilver),Manga - comic,"Ông tổ của làng truyện hài Pokémon nay đã chính thức oanh tạc thế giới của HGSS! Lần này sẽ là vùng Johto!! Cả nhóm liên tục tìm kiếm các cơ hội học hỏi kĩ năng mới trong HGSS, thậm chí còn nhiệt tình tham gia quyết đấu Pokémon 3 môn phối hợp, mặc sức quậy tưng cả thành phố mà chẳng buồn để tâm luật lệ là thế nào... Ngoài ra sự góp mặt của nhiều Pokémon mới cũng sẽ khiến bầu không khí của tập 1 sôi động hơn! Các bạn độc giả đừng bỏ lỡ nhé!! LỜI TÁC GIẢ “Johto vốn là thành phố cho cảm giác thanh bình giống như Kyoto ngoài đời thực vậy! Ấy vậy mà trong thế giới HeartGold-SoulSilver thì địa điểm này còn đầy rẫy những yếu tố ngốc nghếch nữa! Đã hơn 10 năm trôi qua kể từ thời Gold-Silver mà Pippi nhà chúng ta vẫn không suy giảm phong độ! Quả thực là quá sức tuyệt vời! Mỗi lẫn nghĩ tới việc các Pokmon có những pha bùng nổ như thế nào sau 10 năm là tôi lại cảm thấy háo hức quá chừng luôn!” Mời các bạn tìm đọc bộ  Pokémon - Cuộc Phiêu Lưu Của Pippi Hg.Ss Heartgold.Soulsilver):     Pokémon - Cuộc Phiêu Lưu Của Pippi Hg.Ss Heartgold.Soulsilver) Tập 1     Pokémon - Cuộc Phiêu Lưu Của Pippi Hg.Ss Heartgold.Soulsilver) Tập 2"
Vị thần lang thang - Tập 22,554,5000,20000,5222209910022,978-604-2-23719-2,Adachitoka,Tuổi mới lớn,17.6,11.3,190,bìa mềm,120,Vị thần lang thang,Manga - comic,"Nội dung kể về Hiyori, một nữ sinh có khả năng nhìn thấy những linh hồn hay quỷ thần. Một lần cô gặp tại nạn giao thông và trở thành thức thần. Cô đã kết bạn với Yato, một Vị Thần Lang Thang khao khát xây dựng ngôi đền riêng cho bản thân. Manga Noragami  là một trong 10 bộ truyện bán chạy nhất ở Bảng xếp hạng manga Oricon."
Em gái cương thi - Kyoko - Tập 3,557,5000,35000,5222215180003,978-604-2-26822-6,Soichiro YAMAMOTO,Thiếu niên,18,13,188,bìa mềm,150,Em gái cương thi - Kyoko,Manga - comic,"Fudatsuki Kenji nổi tiếng khắp trường là một tên đầu gấu, hơn nữa còn là một tên đầu gấu cuồng em gái. Bởi cứ hễ tên con trai nào “liếc mắt đưa tình” với cô em gái Kyoko là sẽ bị hắn dọa cho sợ mất vía.nbsp; Nhưng thực ra hai anh em nhà Fudatsuki đang che giấu một bí mật động trời. Kyoko vốn là một cương thi và dải lụa buộc tóc chính là “lá bùa phong ấn”. Nếu dải lụa bị tuột, cô bé sẽ mất bình tĩnh và “cạp” người vô tội vạ. Sợ em gái gây họa cho xã hội nên Kenji mới phải kè kè theo sát 24/7, bị học sinh trong trường bàn tán đặt điều và gặp không biết bao nhiêu tình huống dở khóc dở cười... Nếu đã yêu quý cô bạn Takagi dễ thương lém lỉnh và cậu bạn Nishikata chuyên bị chọc ghẹo trong “Nhất quỷ, nhì ma, thứ ba Takagi” từ tác giả Soichiro Yamamoto, vậy thì các bạn đừng bỏ qua “Em gái cương thi Kyoko” - tác phẩm chung cha đẻ với Takagi - để được đến với cặp đôi anh em Kenji amp; Kyoko cùng những câu chuyện thường ngày nhưng vẫn không kém phần hài hước nhé! nbsp;"
666 Satan - Tập 4,559,5000,30000,5222215900004,978-604-2-27836-2,Seishi Kishimoto,Thiếu niên,17.6,11.3,192,bìa mềm,130,666 Satan,Manga - comic,"Để phục hồi Zero Shiki bị gãy, cuối cùng Jio và Ball cũng đã tới gặp Kirin – chuyên viên giám định trong lời đồn! Thứ đang chờ đợi cả hai là thử thách vô cùng đáng sợ!! Seishi Kishimot “Từ hồi 666 Satan được đăng dài kì trên tạp chí, không hiểu sao đồ đạc quanh tôi cứ liên tục hỏng… Tới lúc phải trừ tà rồi chăng? Hỡi SP2 và Gamecube* của ta! Riêng mấy cưng phải bình an vô sự đấy nhá!” nbsp;"
666 Satan - Tập 1,562,5000,30000,5222215900001,978-604-2-27832-4,Seishi Kishimoto,Thiếu niên,17.6,11.3,192,bìa mềm,130,666 Satan,Manga - comic,"Ruby Cresent là một thợ săn kho báu, đang trên hành trình tìm kiếm O-parts huyền thoại - loại vật chất mang sức mạnh bí ẩn đến giờ vẫn chưa có lời giải hoàn chỉnh. Trên đường chu du, cô nhóc vô tình gặp gỡ Jio - một thiếu niên hai màu tóc kì lạ với hoài bão chinh phục thế giới.nbsp; Kể từ đây, cuộc hành trình của Ruby đã rẽ sang hướng mới mà cô bé không thể ngờ đến. Liệu họ có đạt được mục tiêu ban đầu? O-parts huyền thoại có thực sự tồn tại? Thân thế thật của Jio là gì? Tất cả sẽ được hé lộ trong 666 SATAN - tác phẩm nổi trội nhất trong sự nghiệp của Seishi Kishimoto! Sách phát hành 2 tuần một tập, bắt đầu từ giữa tháng 10.2022, xin mời các bạn độc giả cùng đọc! Seishi Kishimoto “Hồi tiểu học, tôi thường xem chương trình “Võ đường truyện tranh vui nhộn”. Thế mà đã mười mấy năm trôi qua từ thuở tôi còn là đứa trẻ và nghĩ rằng “truyện tranh mới lí thú làm sao” rồi. Với tôi, đây là quyển truyện đầu tiên được ra mắt. Tôi luôn trân trọng cảm xúc ngày nào và cố gắng vẽ nên một tác phẩm thú vị. Mong được các bạn ủng hộ.” nbsp;"
